 * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
127.0.0.1 - - [19/Feb/2021 12:27:59] "GET /users/foto/obelo?seed=1613737678070 HTTP/1.1" 200 -
127.0.0.1 - - [21/Feb/2021 23:15:49] "POST /login HTTP/1.1" 200 -
127.0.0.1 - - [21/Feb/2021 23:15:49] "GET /users/foto/obelo?seed=1613949349261 HTTP/1.1" 200 -
127.0.0.1 - - [21/Feb/2021 23:15:49] "GET /folios/folios?nome=obelo HTTP/1.1" 200 -
127.0.0.1 - - [21/Feb/2021 23:15:49] "GET /users/foto/obelo HTTP/1.1" 304 -
127.0.0.1 - - [21/Feb/2021 23:15:49] "GET /users/users?nome=obelo HTTP/1.1" 200 -
127.0.0.1 - - [21/Feb/2021 23:15:49] "GET /folios/tags?nome=obelo HTTP/1.1" 200 -
127.0.0.1 - - [21/Feb/2021 23:15:49] "GET /folios/index?nome=obelo HTTP/1.1" 200 -
127.0.0.1 - - [21/Feb/2021 23:15:55] "GET /folios/folios?nome=obelo HTTP/1.1" 200 -
127.0.0.1 - - [21/Feb/2021 23:15:55] "GET /users/foto/obelo?seed=1613949355647 HTTP/1.1" 200 -
127.0.0.1 - - [21/Feb/2021 23:16:48] "GET /folios/ver/TM-F0002/foto HTTP/1.1" 401 -
127.0.0.1 - - [21/Feb/2021 23:16:54] "GET /folios/ver/TM-F0001/foto HTTP/1.1" 200 -
127.0.0.1 - - [21/Feb/2021 23:17:04] "GET /folios/ver/TM-F0003v/foto HTTP/1.1" 401 -
127.0.0.1 - - [21/Feb/2021 23:17:11] "GET /folios/ver/TM-F0005/foto HTTP/1.1" 401 -
127.0.0.1 - - [21/Feb/2021 23:17:24] "GET /users/foto/obelo?seed=1613949444269 HTTP/1.1" 200 -
127.0.0.1 - - [21/Feb/2021 23:18:13] "GET /users/foto/obelo?seed=1613949493854 HTTP/1.1" 200 -
127.0.0.1 - - [21/Feb/2021 23:18:13] "GET /folios/folios?nome=obelo HTTP/1.1" 200 -
127.0.0.1 - - [21/Feb/2021 23:19:08] "GET /folios/ver/TM-F0001v/foto HTTP/1.1" 401 -
127.0.0.1 - - [21/Feb/2021 23:24:39] "POST /login HTTP/1.1" 200 -
127.0.0.1 - - [21/Feb/2021 23:24:39] "GET /users/users?nome=obelo HTTP/1.1" 200 -
127.0.0.1 - - [21/Feb/2021 23:24:39] "GET /folios/folios?nome=obelo HTTP/1.1" 200 -
127.0.0.1 - - [21/Feb/2021 23:24:40] "GET /users/foto/obelo?seed=1613949880011 HTTP/1.1" 200 -
127.0.0.1 - - [21/Feb/2021 23:24:40] "GET /folios/tags?nome=obelo HTTP/1.1" 200 -
127.0.0.1 - - [21/Feb/2021 23:24:40] "GET /folios/index?nome=obelo HTTP/1.1" 200 -
127.0.0.1 - - [21/Feb/2021 23:24:45] "GET /users/foto/obelo?seed=1613949885440 HTTP/1.1" 200 -
127.0.0.1 - - [21/Feb/2021 23:24:45] "GET /folios/folios?nome=obelo HTTP/1.1" 200 -
127.0.0.1 - - [21/Feb/2021 23:24:53] "GET /folios/apagar/TM-F0001?nome=obelo HTTP/1.1" 200 -
127.0.0.1 - - [21/Feb/2021 23:25:03] "GET /folios/ver/TM-F0159v/foto HTTP/1.1" 401 -
127.0.0.1 - - [21/Feb/2021 23:25:05] "GET /folios/ver/TM-F0030v/foto HTTP/1.1" 401 -
127.0.0.1 - - [23/Feb/2021 15:05:30] "GET /analise/foliosnames HTTP/1.1" 200 -
127.0.0.1 - - [23/Feb/2021 15:11:46] "GET /analise/foliosnames HTTP/1.1" 200 -
127.0.0.1 - - [23/Feb/2021 15:11:58] "OPTIONS /login HTTP/1.1" 200 -
127.0.0.1 - - [23/Feb/2021 15:11:59] "POST /login HTTP/1.1" 200 -
127.0.0.1 - - [23/Feb/2021 15:11:59] "OPTIONS /folios/folios?nome=obelo HTTP/1.1" 200 -
127.0.0.1 - - [23/Feb/2021 15:11:59] "OPTIONS /users/users?nome=obelo HTTP/1.1" 200 -
127.0.0.1 - - [23/Feb/2021 15:11:59] "GET /folios/folios?nome=obelo HTTP/1.1" 200 -
127.0.0.1 - - [23/Feb/2021 15:11:59] "OPTIONS /users/foto/obelo HTTP/1.1" 200 -
127.0.0.1 - - [23/Feb/2021 15:11:59] "OPTIONS /users/foto/obelo?seed=1614093119302 HTTP/1.1" 200 -
127.0.0.1 - - [23/Feb/2021 15:11:59] "GET /users/users?nome=obelo HTTP/1.1" 200 -
127.0.0.1 - - [23/Feb/2021 15:11:59] "GET /users/foto/obelo?seed=1614093119302 HTTP/1.1" 200 -
127.0.0.1 - - [23/Feb/2021 15:11:59] "GET /users/foto/obelo HTTP/1.1" 200 -
127.0.0.1 - - [23/Feb/2021 15:11:59] "OPTIONS /folios/tags?nome=obelo HTTP/1.1" 200 -
127.0.0.1 - - [23/Feb/2021 15:11:59] "OPTIONS /folios/index?nome=obelo HTTP/1.1" 200 -
127.0.0.1 - - [23/Feb/2021 15:11:59] "GET /folios/tags?nome=obelo HTTP/1.1" 200 -
127.0.0.1 - - [23/Feb/2021 15:11:59] "GET /folios/index?nome=obelo HTTP/1.1" 200 -
127.0.0.1 - - [23/Feb/2021 15:22:33] "OPTIONS /users/users?nome=obelo HTTP/1.1" 200 -
127.0.0.1 - - [23/Feb/2021 15:22:33] "OPTIONS /folios/folios?nome=obelo HTTP/1.1" 200 -
127.0.0.1 - - [23/Feb/2021 15:22:33] "OPTIONS /users/foto/obelo?seed=1614093752827 HTTP/1.1" 200 -
127.0.0.1 - - [23/Feb/2021 15:22:33] "OPTIONS /users/foto/obelo HTTP/1.1" 200 -
127.0.0.1 - - [23/Feb/2021 15:22:33] "GET /users/users?nome=obelo HTTP/1.1" 200 -
127.0.0.1 - - [23/Feb/2021 15:22:33] "GET /folios/folios?nome=obelo HTTP/1.1" 200 -
127.0.0.1 - - [23/Feb/2021 15:22:33] "GET /users/foto/obelo?seed=1614093752827 HTTP/1.1" 200 -
127.0.0.1 - - [23/Feb/2021 15:22:33] "GET /users/foto/obelo HTTP/1.1" 304 -
127.0.0.1 - - [23/Feb/2021 15:22:33] "OPTIONS /folios/index?nome=obelo HTTP/1.1" 200 -
127.0.0.1 - - [23/Feb/2021 15:22:33] "OPTIONS /folios/tags?nome=obelo HTTP/1.1" 200 -
127.0.0.1 - - [23/Feb/2021 15:22:33] "GET /folios/tags?nome=obelo HTTP/1.1" 200 -
127.0.0.1 - - [23/Feb/2021 15:22:33] "GET /folios/index?nome=obelo HTTP/1.1" 200 -
127.0.0.1 - - [23/Feb/2021 15:25:42] "OPTIONS /users/users?nome=obelo HTTP/1.1" 200 -
127.0.0.1 - - [23/Feb/2021 15:25:42] "OPTIONS /folios/folios?nome=obelo HTTP/1.1" 200 -
127.0.0.1 - - [23/Feb/2021 15:25:42] "OPTIONS /users/foto/obelo HTTP/1.1" 200 -
127.0.0.1 - - [23/Feb/2021 15:25:42] "OPTIONS /users/foto/obelo?seed=1614093942613 HTTP/1.1" 200 -
127.0.0.1 - - [23/Feb/2021 15:25:42] "GET /users/users?nome=obelo HTTP/1.1" 200 -
127.0.0.1 - - [23/Feb/2021 15:25:42] "GET /folios/folios?nome=obelo HTTP/1.1" 200 -
127.0.0.1 - - [23/Feb/2021 15:25:42] "GET /users/foto/obelo HTTP/1.1" 304 -
127.0.0.1 - - [23/Feb/2021 15:25:42] "GET /users/foto/obelo?seed=1614093942613 HTTP/1.1" 200 -
127.0.0.1 - - [23/Feb/2021 15:25:43] "OPTIONS /folios/tags?nome=obelo HTTP/1.1" 200 -
127.0.0.1 - - [23/Feb/2021 15:25:43] "OPTIONS /folios/index?nome=obelo HTTP/1.1" 200 -
127.0.0.1 - - [23/Feb/2021 15:25:43] "GET /folios/tags?nome=obelo HTTP/1.1" 200 -
